SiteID, 496
Longitude, -99.9375
Latitude, 36.5
Year,Month,Day,Hour,Minute,Wind Speed 80m (m/s),Wind Speed 100m (m/s),IEC1 80m,IEC2 80m,IEC3 100m,Selected IEC1
2005,1,1,0,0,5.223,5.568,17.0,22.2,32.3,22.2
2005,1,1,0,10,5.0,5.382999999999999,13.6,18.0,28.2,18.0
2005,1,1,0,20,4.823,5.206,11.4,15.2,25.2,15.2
2005,1,1,0,30,4.526,4.936,8.0,11.0,20.6,11.0
2005,1,1,0,40,4.548,5.023,8.7,11.9,22.7,11.9
2005,1,1,0,50,4.308,4.8919999999999995,6.8,9.3,20.8,9.3
2005,1,1,1,0,4.45,5.095,8.3,11.2,24.3,11.2
2005,1,1,1,10,5.276,5.941,19.0,24.3,41.9,24.3
2005,1,1,1,20,5.997999999999999,6.6339999999999995,29.8,37.2,56.8,37.2
2005,1,1,1,30,6.513999999999999,7.082999999999999,40.3,49.7,70.9,49.7
2005,1,1,1,40,6.485,6.996,38.3,47.4,66.1,47.4
2005,1,1,1,50,6.39,6.8389999999999995,34.9,43.5,59.5,43.5
2005,1,1,2,0,6.919,7.357,47.1,57.8,75.8,57.8
2005,1,1,2,10,7.706,8.197000000000001,67.1,81.0,106.5,81.0
2005,1,1,2,20,8.28,8.802999999999999,86.7,103.3,134.1,103.3
2005,1,1,2,30,8.754,9.345,108.6,128.2,168.6,128.2
2005,1,1,2,40,9.304,9.969,134.8,157.0,203.0,157.0
2005,1,1,2,50,9.817,10.571,145.9,167.5,214.9,167.5
2005,1,1,3,0,10.18,10.998,159.3,180.5,227.6,180.5
2005,1,1,3,10,10.610999999999999,11.48,179.7,200.0,242.3,200.0
2005,1,1,3,20,11.116,12.027000000000001,203.5,220.7,254.6,220.7
2005,1,1,3,30,11.394,12.344000000000001,212.6,228.5,258.8,228.5
2005,1,1,3,40,11.415999999999999,12.365,214.0,229.8,260.0,229.8
2005,1,1,3,50,11.394,12.329,210.7,227.5,260.4,227.5
2005,1,1,4,0,11.495,12.43,221.0,236.0,264.0,236.0
2005,1,1,4,10,11.765,12.74,228.9,242.6,267.4,242.6
2005,1,1,4,20,11.95,12.964,235.8,248.2,270.2,248.2
2005,1,1,4,30,12.0,13.026,237.1,249.4,271.3,249.4
2005,1,1,4,40,12.052999999999999,13.057,240.1,251.8,272.5,251.8
2005,1,1,4,50,12.048,13.026,243.1,254.5,274.2,254.5
2005,1,1,5,0,11.969000000000001,12.943,240.9,253.2,274.7,253.2
2005,1,1,5,10,11.870999999999999,12.847999999999999,238.3,251.4,274.8,251.4
2005,1,1,5,20,11.815,12.797,237.2,250.9,275.3,250.9
2005,1,1,5,30,11.729000000000001,12.710999999999999,224.3,237.8,262.1,237.8
2005,1,1,5,40,11.667,12.642000000000001,223.2,236.9,262.0,236.9
2005,1,1,5,50,11.587,12.56,223.7,237.3,262.2,237.3
2005,1,1,6,0,11.42,12.382,220.1,234.6,261.4,234.6
2005,1,1,6,10,11.314,12.274000000000001,211.3,227.0,257.2,227.0
2005,1,1,6,20,11.117,12.085,212.0,229.3,264.2,229.3
2005,1,1,6,30,11.109000000000002,12.078,209.2,227.0,263.4,227.0
2005,1,1,6,40,11.195,12.177,212.9,230.2,264.6,230.2
2005,1,1,6,50,11.224,12.217,214.0,231.0,265.1,231.0
2005,1,1,7,0,11.231,12.216,216.7,233.3,266.0,233.3
2005,1,1,7,10,11.132,12.093,210.5,228.0,263.4,228.0
2005,1,1,7,20,11.193,12.127,215.3,232.2,265.1,232.2
2005,1,1,7,30,11.3,12.228,219.2,235.1,265.7,235.1
2005,1,1,7,40,11.434000000000001,12.369000000000002,214.0,229.5,259.0,229.5
2005,1,1,7,50,11.507,12.437000000000001,217.8,232.6,260.2,232.6
2005,1,1,8,0,11.460999999999999,12.39,218.6,233.4,260.8,233.4
2005,1,1,8,10,11.347000000000001,12.265999999999998,212.3,228.4,258.9,228.4
2005,1,1,8,20,11.280999999999999,12.189,210.7,227.0,258.2,227.0
2005,1,1,8,30,11.399000000000001,12.300999999999998,214.5,230.1,259.3,230.1
2005,1,1,8,40,11.579,12.462,219.8,234.2,261.0,234.2
2005,1,1,8,50,11.564,12.425,218.5,233.0,259.9,233.0
2005,1,1,9,0,11.487,12.317,220.3,234.8,260.4,234.8
2005,1,1,9,10,11.464,12.28,218.0,233.4,261.5,233.4
