"Name","Team","Age","AVG","BB%","K%","BB/K","OBP","SLG","OPS","ISO","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","wOBA","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","PA","playerid"
"Nelson Cruz","Twins","39",".325","11.1%","24.9%","0.44",".408",".673","1.081",".349",".363","1.14","19.9%","42.7%","37.4%","9.0%","37.6%","7.9%","0.0%",".438","31.8%","71.2%","47.0%","53.9%","81.2%","69.9%","38.7%","56.3%","14.2%","40.5%","35.1%","24.4%","12.6%","38.2%","49.2%","570","2434"
"Mike Trout","Angels","28",".295","15.4%","23.0%","0.67",".418",".664","1.081",".369",".307","0.42","28.4%","21.0%","50.6%","9.9%","28.1%","14.1%","0.0%",".436","20.2%","61.7%","37.6%","68.4%","86.4%","80.8%","42.0%","54.6%","7.2%","42.0%","34.6%","23.4%","11.8%","43.5%","44.7%","570","10155"
"Yordan Alvarez","Astros","23",".312","13.8%","25.1%","0.55",".410",".654","1.064",".343",".360","1.05","24.6%","38.6%","36.8%","1.2%","33.3%","3.4%","0.0%",".431","30.3%","63.4%","43.2%","64.1%","85.4%","76.2%","38.8%","53.2%","10.3%","38.6%","37.3%","24.1%","10.1%","38.6%","51.3%","378","19556"
"Alex Bregman","Astros","26",".301","17.0%","11.4%","1.48",".426",".575","1.001",".274",".299","0.73","21.9%","33.0%","45.1%","10.4%","15.3%","2.2%","0.0%",".417","19.4%","57.7%","34.6%","79.4%","92.4%","88.0%","39.7%","53.0%","4.2%","47.3%","36.0%","16.8%","13.6%","44.3%","42.1%","577","17678"
"Juan Soto","Nationals","21",".290","17.8%","17.1%","1.04",".418",".586","1.004",".296",".300","1.24","20.8%","43.9%","35.3%","3.7%","25.7%","4.1%","33.3%",".411","22.6%","67.8%","39.8%","62.5%","87.7%","78.8%","38.1%","55.6%","8.4%","37.9%","38.1%","24.0%","12.4%","44.3%","43.3%","601","20123"
"Salvador Perez","Royals","30",".349","2.6%","18.4%","0.14",".368",".606",".974",".257",".386","0.94","28.1%","34.8%","37.1%","3.0%","18.2%","9.7%","0.0%",".407","46.4%","81.6%","59.8%","65.8%","90.8%","78.8%","38.1%","68.4%","12.7%","41.6%","39.3%","19.1%","11.2%","48.3%","40.5%","114","7304"
"Freddie Freeman","Braves","30",".308","14.3%","17.2%","0.83",".411",".579",".990",".271",".331","1.03","27.3%","36.9%","35.8%","3.8%","22.5%","3.0%","0.0%",".407","32.7%","82.6%","51.4%","71.1%","84.6%","79.2%","37.5%","54.2%","10.7%","39.4%","30.9%","29.8%","10.7%","44.3%","45.0%","659","5361"
"Christian Yelich","Brewers","28",".295","14.0%","25.6%","0.55",".401",".578",".979",".283",".358","1.37","23.3%","44.4%","32.3%","3.7%","30.8%","4.8%","0.0%",".406","27.5%","67.9%","41.7%","53.0%","84.1%","70.8%","35.2%","51.7%","12.2%","39.8%","34.3%","25.9%","11.8%","40.1%","48.2%","559","11477"
"Fernando Tatis Jr.","Padres","21",".305","9.3%","27.0%","0.34",".379",".595",".974",".291",".369","1.51","21.3%","47.3%","31.3%","3.2%","33.0%","10.6%","0.0%",".402","30.2%","72.1%","46.8%","51.9%","81.1%","69.7%","39.6%","58.9%","14.2%","42.1%","38.1%","19.9%","13.9%","37.8%","48.3%","486","19709"
"Anthony Rendon","- - -","30",".308","13.6%","12.0%","1.13",".411",".553",".964",".245",".308","0.82","21.6%","35.2%","43.2%","12.6%","15.5%","5.4%","0.0%",".401","22.9%","69.7%","42.5%","78.9%","93.6%","89.0%","41.9%","60.0%","4.7%","42.6%","33.5%","23.9%","15.3%","40.7%","44.0%","657","12861"
"DJ LeMahieu","Yankees","31",".344","7.0%","12.9%","0.55",".390",".568",".957",".224",".359","2.20","21.8%","53.8%","24.5%","2.6%","24.8%","7.0%","0.0%",".401","30.7%","64.3%","45.0%","77.1%","91.2%","85.7%","42.5%","61.2%","6.4%","27.8%","36.4%","35.8%","14.6%","45.4%","40.0%","598","9874"
"Ketel Marte","Diamondbacks","26",".339","7.4%","11.0%","0.67",".394",".560",".954",".222",".353","1.32","22.3%","44.1%","33.6%","9.4%","14.1%","4.6%","100.0%",".399","31.4%","68.4%","46.2%","78.2%","89.6%","84.9%","40.0%","58.5%","7.0%","42.8%","36.3%","20.9%","17.5%","42.4%","40.1%","554","13613"
"Mookie Betts","- - -","27",".303","12.2%","15.1%","0.81",".387",".568",".955",".265",".311","0.69","26.9%","29.8%","43.3%","6.8%","17.0%","7.8%","0.0%",".395","22.8%","62.0%","39.9%","68.7%","94.0%","85.8%","43.6%","60.6%","5.7%","42.0%","34.9%","23.1%","11.1%","43.1%","45.8%","657","13611"
"Will Smith","Dodgers","25",".272","12.5%","22.2%","0.56",".372",".593",".964",".321",".278","0.52","20.2%","27.3%","52.5%","10.4%","21.9%","14.0%","0.0%",".394","21.6%","64.6%","40.4%","64.2%","86.8%","80.0%","43.6%","55.9%","8.1%","40.4%","39.9%","19.7%","12.0%","45.9%","42.1%","288","19197"
"Jorge Soler","Royals","28",".267","12.6%","26.8%","0.47",".372",".570",".942",".303",".305","0.89","21.7%","36.9%","41.4%","11.7%","29.0%","5.4%","0.0%",".389","25.5%","65.9%","40.7%","49.9%","81.7%","69.2%","37.5%","58.8%","12.5%","48.6%","27.4%","24.0%","12.3%","40.0%","47.7%","604","14221"
"Brandon Nimmo","Mets","27",".268","16.6%","20.8%","0.80",".405",".504",".909",".237",".308","1.27","20.0%","44.7%","35.3%","3.3%","20.0%","4.0%","100.0%",".388","22.2%","67.9%","41.9%","65.4%","86.8%","80.4%","43.2%","62.0%","8.2%","35.7%","28.1%","36.3%","19.9%","55.0%","25.2%","284","12927"
"Aaron Judge","Yankees","28",".270","12.2%","31.6%","0.39",".367",".572",".939",".302",".340","1.13","24.5%","40.1%","35.4%","2.4%","36.9%","8.4%","0.0%",".387","25.0%","69.2%","42.3%","39.9%","79.5%","65.3%","39.3%","59.4%","14.7%","43.9%","33.8%","22.4%","9.7%","37.1%","53.2%","433","15640"
"Jesse Winker","Reds","26",".285","12.8%","19.4%","0.66",".394",".516",".910",".230",".321","1.98","27.1%","48.4%","24.4%","3.6%","29.1%","1.8%","0.0%",".387","23.4%","67.2%","41.8%","66.0%","84.9%","78.7%","42.0%","57.1%","8.9%","43.1%","33.3%","23.6%","13.8%","44.0%","42.2%","345","13590"
"Giancarlo Stanton","Yankees","30",".281","13.8%","28.5%","0.48",".391",".531",".923",".250",".362","1.45","23.4%","45.3%","31.3%","25.0%","30.0%","10.3%","0.0%",".387","26.4%","58.3%","38.0%","55.6%","84.3%","71.6%","36.3%","62.9%","10.8%","53.1%","31.3%","15.6%","28.1%","28.1%","43.8%","116","4949"
