"Season","Name","Team","Age","AVG","BB%","K%","BB/K","OBP","SLG","OPS","ISO","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","wOBA","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","PA","playerid"
"2002","Barry Bonds","Giants","37",".370","32.4%","7.7%","4.21",".582",".799","1.381",".429",".330","0.64","22.3%","30.4%","47.2%","9.5%","27.2%","4.6%","0.0%",".544","11.3%","70.2%","36.6%","40.1%","89.9%","81.1%","43.0%","45.3%","6.3%","44.7%","31.0%","24.3%","9.5%","52.2%","38.3%","612","1109"
"2004","Barry Bonds","Giants","39",".362","37.6%","6.6%","5.66",".609",".812","1.422",".450",".310","0.75","18.5%","34.9%","46.6%","14.1%","28.8%","6.8%","0.0%",".537","12.5%","65.3%","34.3%","70.6%","90.0%","85.8%","41.3%","39.6%","4.0%","48.1%","28.1%","23.9%","9.3%","44.5%","46.3%","617","1109"
"2003","Barry Bonds","Giants","38",".341","26.9%","10.5%","2.55",".529",".749","1.278",".408",".304","0.66","24.3%","30.2%","45.5%","13.8%","29.6%","6.9%","0.0%",".503","19.9%","68.4%","40.2%","44.0%","89.2%","76.2%","41.9%","46.4%","8.8%","47.6%","32.0%","20.4%","14.7%","47.0%","38.3%","550","1109"
"2015","Bryce Harper","Nationals","22",".330","19.0%","20.0%","0.95",".460",".649","1.109",".319",".369","0.98","22.2%","38.5%","39.3%","5.8%","27.3%","4.6%","100.0%",".461","27.6%","72.5%","44.7%","60.9%","84.4%","75.4%","38.0%","54.6%","10.8%","45.4%","33.8%","20.8%","11.9%","47.2%","40.9%","654","11579"
"2003","Albert Pujols","Cardinals","23",".359","11.5%","9.5%","1.22",".439",".667","1.106",".308",".346","1.15","22.5%","41.4%","36.1%","15.2%","22.5%","8.7%","50.0%",".461","22.4%","68.3%","44.2%","60.3%","92.3%","83.9%","47.7%","53.9%","7.1%","50.9%","25.8%","23.3%","14.1%","52.7%","33.2%","685","1177"
"2002","Jim Thome","Indians","31",".304","19.9%","22.7%","0.88",".445",".677","1.122",".373",".319","0.79","22.5%","34.3%","43.2%","7.3%","34.7%","6.7%","0.0%",".461","14.6%","70.1%","41.3%","35.5%","77.1%","69.5%","48.1%","53.2%","12.3%","40.9%","34.3%","24.8%","12.1%","48.4%","39.5%","613","409"
"2002","Manny Ramirez","Red Sox","30",".349","14.1%","16.4%","0.86",".450",".647","1.097",".298",".373","1.47","25.0%","44.6%","30.4%","6.5%","30.8%","6.4%","0.0%",".459","13.2%","70.2%","43.0%","50.4%","87.8%","82.4%","52.3%","57.7%","7.5%","45.5%","29.3%","25.3%","9.9%","55.1%","34.9%","518","210"
"2008","Albert Pujols","Cardinals","28",".357","16.2%","8.4%","1.93",".462",".653","1.114",".296",".340","1.07","22.4%","40.2%","37.4%","11.7%","20.7%","6.3%","0.0%",".459","21.4%","63.8%","41.0%","74.0%","95.8%","89.6%","46.1%","49.6%","4.0%","47.5%","31.8%","20.7%","15.5%","41.6%","42.9%","641","1177"
"2013","Miguel Cabrera","Tigers","30",".348","13.8%","14.4%","0.96",".442",".636","1.078",".288",".356","1.03","24.0%","38.7%","37.4%","5.8%","25.4%","3.4%","0.0%",".455","33.1%","77.5%","51.2%","69.5%","87.6%","80.7%","40.8%","60.3%","9.6%","40.0%","33.1%","27.0%","9.5%","45.4%","45.1%","652","1744"
"2004","Todd Helton","Rockies","30",".347","18.6%","10.5%","1.76",".469",".620","1.088",".272",".352","0.79","23.9%","33.5%","42.6%","8.8%","15.6%","6.2%","0.0%",".454","18.1%","70.3%","42.7%","75.8%","88.6%","85.7%","47.0%","53.0%","6.0%","36.0%","30.4%","33.7%","12.9%","53.3%","33.8%","683","432"
