,Name,wOBA_current_year,preds,PA
1,Mike Trout,0.436,0.4191395136353185,570
2,Yordan Alvarez,0.431,0.4048945103523123,378
4,Juan Soto,0.41100000000000003,0.4046134229976446,601
0,Nelson Cruz,0.43799999999999994,0.40264430388894595,570
6,Freddie Freeman,0.40700000000000003,0.39804729781865533,659
12,Mookie Betts,0.395,0.39533956431521156,657
9,Anthony Rendon,0.401,0.39487804751049055,657
16,Aaron Judge,0.387,0.39353709345547305,433
70,Edwin Rios,0.366,0.3933614756296727,113
13,Will Smith,0.39399999999999996,0.3929728510162552,288
3,Alex Bregman,0.41700000000000004,0.39212919961961384,577
7,Christian Yelich,0.406,0.3901713391772461,559
14,Jorge Soler,0.389,0.387265508164614,604
101,Max Muncy,0.354,0.38657062947281795,578
22,Ronald Acuna Jr.,0.386,0.3858179823748976,626
27,Josh Donaldson,0.382,0.3857367205689054,520
56,Bryce Harper,0.371,0.38571002511879476,626
58,Justin Turner,0.37,0.3838730399947723,478
8,Fernando Tatis Jr.,0.402,0.38083565248191487,486
10,DJ LeMahieu,0.401,0.38051781012544644,598
69,Corey Seager,0.366,0.3797583611931583,505
24,Brad Miller,0.384,0.37855129434058354,267
36,George Springer,0.377,0.3782661289351078,523
61,Miguel Sano,0.369,0.3778821979447458,562
60,Marcus Semien,0.369,0.3768975218565046,681
103,Mitch Garver,0.354,0.3765828966936059,329
35,Teoscar Hernandez,0.377,0.37626062192225795,482
15,Brandon Nimmo,0.38799999999999996,0.3756542984248738,284
42,Jordan Luplow,0.375,0.37547406550914164,231
110,Cody Bellinger,0.349,0.37479260805692927,624
63,Adam Duvall,0.368,0.3744014000478985,297
84,Manny Machado,0.359,0.3741246015632732,646
55,Eugenio Suarez,0.371,0.3739685553023806,616
87,Kyle Schwarber,0.358,0.37339709203750243,588
28,Trevor Story,0.382,0.3732893119339821,612
49,Jose Ramirez,0.37200000000000005,0.3731967732177821,510
17,Jesse Winker,0.387,0.37302590167506333,345
31,Jake Cronenworth,0.38,0.37274753953095635,160
73,Paul Goldschmidt,0.363,0.37135534693448496,616
21,Xander Bogaerts,0.386,0.3713322138985476,644
129,Max Kepler,0.34299999999999997,0.37100570511059994,532
26,Ian Happ,0.38299999999999995,0.3709917522328692,357
75,J.D. Martinez,0.36200000000000004,0.37003088260699735,624
99,Chris Taylor,0.355,0.36875188615984456,437
48,Yuli Gurriel,0.37200000000000005,0.3684651437748471,584
89,Carlos Santana,0.35700000000000004,0.36806514519049427,658
81,Yasiel Puig,0.359,0.3674838177243013,398
20,Jeff McNeil,0.386,0.3668905191231653,545
