last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
Guerrero Jr., Vladimir,665489,176,6.2,33.0,118.9,88.9,94.7,85.5,451,166,421,68,38.6,15,8.5,6.0
Sanchez, Gary,596142,179,20.1,34.6,118.3,92.4,97.0,86.4,481,218,416,81,45.3,40,22.3,14.0
Alonso, Pete,624413,232,13.7,37.9,118.3,91.0,96.9,85.1,458,194,412,98,43.4,41,17.7,11.0
Judge, Aaron,592450,75,11.0,41.3,118.1,96.9,99.5,93.8,442,187,388,45,60.0,16,21.3,11.4
Yelich, Christian,592885,239,11.4,30.5,117.9,93.9,98.5,90.3,462,187,405,120,50.8,41,17.2,11.2
Schwarber, Kyle,656941,207,14.5,33.3,117.6,93.0,97.0,90.4,467,192,407,107,51.7,28,13.5,8.0
Trout, Mike,545361,231,20.7,45.0,116.6,91.1,95.2,84.9,473,230,419,100,44.4,46,19.9,11.9
Bell, Josh,605137,264,10.9,38.6,116.2,93.4,96.8,89.9,474,192,413,133,51.2,39,14.8,10.2
Garcia, Avisail,541645,231,11.6,33.3,116.2,89.3,94.4,87.5,471,164,412,97,42.0,26,11.3,7.8
Zunino, Mike,572287,113,19.3,27.4,116.1,89.9,97.6,85.6,455,178,432,45,39.8,13,11.5,7.3
Tatis Jr., Fernando,665487,140,5.5,31.4,115.9,88.0,95.8,82.0,440,156,399,55,39.3,18,12.9,7.8
Cruz, Nelson,443558,156,12.3,39.1,115.9,93.9,99.6,88.9,469,196,407,82,52.6,31,19.9,11.8
Marte, Ketel,606466,299,11.6,33.1,115.8,90.3,93.3,88.3,482,177,411,118,39.5,30,10.0,7.9
Gomez, Carlos,460576,59,16.4,30.5,115.6,83.6,91.4,77.1,408,168,399,19,33.3,7,11.9,7.1
Harper, Bryce,547180,223,11.6,39.9,115.5,92.1,97.8,85.8,466,191,413,105,47.1,32,14.3,8.2
Gallo, Joey,608336,112,20.2,40.2,115.4,94.5,101.8,80.8,467,230,419,61,55.0,30,26.8,11.8
Meadows, Austin,640457,201,17.2,37.3,115.4,91.4,94.8,88.7,436,202,402,88,43.8,23,11.4,7.5
Acuna Jr., Ronald,660670,262,15.1,38.9,115.3,91.3,94.6,88.1,466,189,422,126,48.1,39,14.9,9.6
Ozuna, Marcell,542303,226,14.2,32.7,115.3,92.4,97.5,88.0,455,184,402,112,51.6,34,15.0,10.4
Tellez, Rowdy,642133,179,14.3,38.0,115.2,90.4,94.2,86.5,449,190,404,71,39.9,23,12.8,8.3
Ohtani, Shohei,660271,143,3.2,32.2,115.1,93.7,98.1,90.6,447,151,403,71,49.7,20,14.0,9.4
Cron, C.J.,543068,239,12.4,36.4,115.1,90.2,95.7,85.6,453,188,406,100,42.4,33,13.8,10.0
Dozier, Hunter,641531,185,15.8,36.8,115.1,92.1,95.3,88.7,453,209,402,80,43.2,19,10.3,6.7
Soler, Jorge,624585,228,14.0,30.3,115.1,91.3,95.5,88.3,462,186,416,102,44.7,31,13.6,8.4
Devers, Rafael,646240,284,8.6,31.7,115.0,92.9,96.7,90.9,458,169,406,141,49.8,24,8.5,6.4
