last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
Stanton, Giancarlo,519317,416,11.6,30.0,121.7,93.7,99.7,91.4,458,175,405,210,50.5,63,15.1,8.9
Sanchez, Gary,596142,231,14.2,29.4,121.1,90.3,97.7,85.9,461,171,413,96,41.6,32,13.9,8.6
Judge, Aaron,592450,266,12.4,35.7,119.9,94.7,97.7,92.1,471,183,397,144,54.1,43,16.2,8.6
Palka, Daniel,594953,264,11.5,28.4,118.4,92.3,97.4,90.1,448,172,410,129,49.0,38,14.4,8.5
Gonzalez, Carlos,471865,353,8.9,30.3,118.3,89.4,92.3,88.8,473,159,420,138,39.2,22,6.2,4.4
Trout, Mike,545361,351,18.6,41.0,118.0,91.2,95.9,85.2,459,212,407,162,46.2,58,16.5,9.5
Gallo, Joey,608336,293,21.6,37.5,117.5,93.9,99.9,85.2,472,225,409,144,49.1,66,22.5,11.4
Ramirez, Hanley,434670,144,11.5,25.0,117.5,91.9,94.6,94.6,432,145,405,69,47.9,11,7.6,5.6
Ozuna, Marcell,542303,476,10.8,30.5,117.2,91.5,94.9,90.1,479,165,415,213,44.9,46,9.7,7.3
Schwarber, Kyle,656941,291,11.5,34.0,117.1,90.0,95.6,85.9,444,177,404,131,45.0,37,12.7,7.3
Mazara, Nomar,608577,376,5.3,28.2,117.1,90.5,94.2,89.1,449,149,416,162,43.1,32,8.5,6.0
Cruz, Nelson,443558,400,12.8,31.3,117.0,93.9,97.2,92.7,465,180,411,205,51.3,55,13.8,9.3
Cordero, Franchy,614173,85,5.9,37.6,116.9,92.6,97.0,88.8,489,168,439,42,51.9,11,12.9,7.1
Martinez, J.D.,502110,430,10.7,40.0,116.7,93.0,96.7,89.2,443,184,398,225,52.4,69,16.0,10.6
Garcia, Avisail,541645,259,9.6,26.6,116.7,90.3,95.8,86.8,481,163,400,112,43.2,30,11.6,7.8
Alfaro, Jorge,595751,207,8.3,35.3,116.6,91.7,94.5,89.9,446,167,420,91,44.2,22,10.6,5.8
Braun, Ryan,460075,323,5.8,36.2,116.3,91.9,97.4,87.2,443,168,401,160,49.5,35,10.8,7.8
Devers, Rafael,646240,331,10.9,30.2,116.3,90.7,95.3,89.4,447,167,399,138,41.7,30,9.1,6.1
Zunino, Mike,572287,225,17.8,33.3,116.0,89.5,97.1,82.4,454,188,404,101,44.9,31,13.8,7.7
Alvarez, Pedro,476883,75,11.4,26.7,115.9,90.0,98.2,82.8,437,182,402,32,42.7,11,14.7,8.7
Bell, Josh,605137,402,9.2,29.6,115.6,90.0,94.2,88.0,432,160,402,156,39.0,28,7.0,4.8
Donaldson, Josh,518626,134,11.8,32.8,115.5,90.2,96.3,85.9,435,170,396,55,41.4,14,10.4,6.4
Abreu, Jose,547989,396,12.2,35.4,115.5,91.3,95.1,89.1,451,178,407,178,44.9,36,9.1,6.5
Bour, Justin,571506,302,9.7,33.4,115.5,88.7,95.6,84.8,437,167,405,117,38.7,31,10.3,6.2
Reyes, Franmil,614177,181,6.8,28.7,115.4,92.3,96.4,90.1,479,153,405,86,47.5,21,11.6,7.4
Puig, Yasiel,624577,320,12.4,34.1,115.3,89.4,93.7,87.5,463,177,413,129,40.7,34,10.6,7.7
Chapman, Matt,656305,403,14.7,30.5,115.3,93.0,95.9,92.7,434,182,397,192,47.8,36,8.9,5.8
Marte, Ketel,606466,444,5.7,29.3,115.1,88.5,92.0,87.4,465,146,405,162,36.7,22,5.0,3.8
Cespedes, Yoenis,493316,93,19.7,36.6,115.1,90.8,95.1,85.7,463,204,400,43,46.2,10,10.8,6.4
Harper, Bryce,547180,390,13.9,35.4,115.1,90.6,96.3,84.8,473,187,409,176,45.1,45,11.5,6.5
Davidson, Matt,571602,272,13.8,36.0,115.1,90.0,95.8,86.6,450,187,400,115,42.3,33,12.1,6.7
Mancini, Trey,641820,434,5.4,27.6,115.0,89.9,95.0,87.0,438,147,387,183,42.2,51,11.8,8.0
Upton, Justin,457708,363,11.8,34.7,114.9,90.7,96.8,85.9,443,185,403,172,47.4,51,14.0,8.3
Machado, Manny,592518,533,14.4,33.8,114.8,91.6,95.1,90.1,444,184,403,256,48.0,60,11.3,8.5
Peralta, David,444482,438,6.7,32.9,114.8,91.5,95.4,90.0,449,164,400,200,45.7,34,7.8,5.5
Herrera, Odubel,546318,430,12.3,29.1,114.7,86.3,89.8,85.4,453,162,394,136,31.6,21,4.9,3.5
Springer, George,543807,425,9.5,30.1,114.7,88.6,93.3,86.1,462,157,410,158,37.2,38,8.9,6.1
Shaw, Travis,543768,397,16.6,31.2,114.6,88.4,93.1,85.4,452,191,402,151,38.0,41,10.3,7.0
Sano, Miguel,593934,153,12.9,26.8,114.6,90.3,96.1,84.7,455,178,400,64,44.1,18,11.8,6.0
Altherr, Aaron,571437,154,10.4,30.5,114.6,90.4,96.7,87.5,421,168,398,70,45.8,15,9.7,5.3
Iannetta, Chris,455104,216,13.3,37.0,114.5,91.7,96.0,87.0,469,189,421,93,43.3,20,9.3,5.6
Franco, Maikel,596748,374,9.5,29.7,114.5,88.1,91.8,88.0,435,153,394,127,34.0,25,6.7,5.4
Lindor, Francisco,596019,560,14.5,34.6,114.5,90.2,94.3,87.4,445,189,400,227,41.0,53,9.5,7.1
Cabrera, Miguel,408234,108,7.3,29.6,114.4,94.4,98.1,92.9,383,140,365,59,54.6,5,4.6,3.2
Cron, C.J.,543068,361,15.2,34.3,114.4,88.0,93.9,85.4,464,181,408,132,36.6,44,12.2,7.9
Moreland, Mitch,519048,307,11.4,33.9,114.3,90.8,95.1,86.4,443,184,417,135,44.1,36,11.7,7.8
Marte, Jefry,527043,153,6.0,24.8,114.2,88.2,91.0,88.5,446,134,404,56,36.6,7,4.6,3.3
Williamson, Mac,607776,67,2.0,28.4,114.2,87.3,92.4,83.8,464,152,429,27,40.3,5,7.5,4.8
Contreras, Willson,575929,357,6.8,28.9,114.1,87.0,92.9,83.5,435,155,392,119,33.3,26,7.3,4.8
Soler, Jorge,624585,156,10.9,31.4,114.1,89.5,96.3,84.2,444,171,405,64,41.3,16,10.3,6.2
Frazier, Todd,453943,304,18.6,32.2,114.1,89.6,93.8,87.5,437,194,395,111,36.6,21,6.9,4.4
Grichuk, Randal,545341,305,18.5,35.1,114.1,90.6,95.9,86.8,471,201,403,131,43.1,44,14.4,9.5
Winker, Jesse,608385,237,13.2,33.3,114.1,90.2,95.4,86.7,438,173,389,100,42.2,15,6.3,4.5
Duda, Lucas,446263,229,19.6,42.8,114.1,89.5,92.5,86.0,436,212,407,84,36.7,23,10.0,6.3
Rua, Ryan,607387,89,13.2,30.3,114.0,89.3,94.6,86.1,399,174,387,36,40.4,9,10.1,6.1
