last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Semien, Marcus,543760,2019,232,165,.267,.250,.017,.411,.375,.036,.336,.319,.017
Albies, Ozzie,645277,2019,228,171,.263,.275,-.012,.421,.435,-.014,.320,.329,-.009
Haniger, Mitch,571745,2019,228,135,.232,.210,.022,.490,.402,.088,.346,.309,.037
Betts, Mookie,605141,2019,227,156,.289,.273,.016,.487,.487,.000,.383,.381,.002
Freeman, Freddie,518692,2019,226,158,.316,.311,.005,.571,.623,-.052,.416,.432,-.016
Cain, Lorenzo,456715,2019,224,170,.271,.279,-.008,.409,.394,.015,.322,.327,-.005
Merrifield, Whit,593160,2019,222,169,.292,.292,.000,.510,.464,.046,.363,.351,.012
McCutchen, Andrew,457705,2019,222,138,.259,.249,.010,.438,.411,.027,.361,.350,.011
Harper, Bryce,547180,2019,221,117,.235,.256,-.021,.454,.477,-.023,.351,.368,-.017
Eaton, Adam,594809,2019,221,159,.273,.274,-.001,.379,.389,-.010,.316,.322,-.006
Acuna Jr., Ronald,660670,2019,220,141,.280,.309,-.029,.497,.582,-.085,.373,.413,-.040
Villar, Jonathan,542340,2019,219,151,.244,.229,.015,.383,.336,.047,.297,.274,.023
Story, Trevor,596115,2019,219,142,.269,.250,.019,.487,.435,.052,.354,.327,.027
Blackmon, Charlie,453568,2019,219,161,.300,.270,.030,.565,.493,.072,.389,.352,.037
Piscotty, Stephen,572039,2019,218,149,.258,.238,.020,.397,.405,-.008,.320,.318,.002
Santana, Domingo,570267,2019,218,135,.265,.270,-.005,.459,.495,-.036,.341,.356,-.015
Hoskins, Rhys,656555,2019,218,123,.254,.231,.023,.503,.420,.083,.382,.356,.026
Goldschmidt, Paul,502671,2019,218,130,.253,.250,.003,.432,.472,-.040,.340,.354,-.014
Chapman, Matt,656305,2019,217,154,.262,.263,-.001,.513,.504,.009,.370,.371,-.001
Bogaerts, Xander,593428,2019,216,148,.289,.268,.021,.492,.445,.047,.376,.356,.020
Bregman, Alex,608324,2019,215,145,.266,.289,-.023,.561,.505,.056,.401,.402,-.001
Bryant, Kris,592178,2019,214,142,.280,.278,.002,.560,.538,.022,.411,.406,.005
DeJong, Paul,657557,2019,214,149,.311,.298,.013,.546,.524,.022,.407,.397,.010
Voit, Luke,572228,2019,213,129,.263,.266,-.003,.503,.571,-.068,.377,.402,-.025
Mondesi, Adalberto,609275,2019,213,145,.287,.249,.038,.487,.409,.078,.339,.313,.026
Devers, Rafael,646240,2019,212,159,.317,.316,.001,.481,.506,-.025,.371,.382,-.011
Arenado, Nolan,571448,2019,212,174,.316,.289,.027,.575,.467,.108,.390,.345,.045
Escobar, Eduardo,500871,2019,212,148,.279,.232,.047,.547,.424,.123,.376,.316,.060
Springer, George,543807,2019,212,140,.313,.313,.000,.654,.624,.030,.436,.434,.002
Benintendi, Andrew,643217,2019,212,135,.267,.246,.021,.417,.429,-.012,.340,.339,.001
Abreu, Jose,547989,2019,211,145,.263,.272,-.009,.515,.567,-.052,.350,.378,-.028
Pham, Tommy,502054,2019,211,140,.290,.293,-.003,.460,.482,-.022,.376,.387,-.011
Marte, Ketel,606466,2019,211,155,.259,.269,-.010,.477,.458,.019,.339,.338,.001
Brantley, Michael,488726,2019,211,176,.328,.295,.033,.554,.485,.069,.394,.357,.037
Markakis, Nick,455976,2019,210,156,.284,.312,-.028,.432,.436,-.004,.353,.373,-.020
Ramirez, Jose,608070,2019,210,153,.198,.245,-.047,.302,.414,-.112,.272,.331,-.059
Carpenter, Matt,572761,2019,210,130,.203,.220,-.017,.362,.402,-.040,.306,.327,-.021
Polanco, Jorge,593871,2019,209,156,.344,.299,.045,.618,.543,.075,.433,.389,.044
Encarnacion, Edwin,429665,2019,209,139,.254,.259,-.005,.514,.516,-.002,.377,.387,-.010
Moncada, Yoan,660162,2019,208,133,.279,.283,-.004,.500,.522,-.022,.357,.369,-.012
Baez, Javier,595879,2019,208,134,.320,.294,.026,.603,.561,.042,.402,.376,.026
Peralta, David,444482,2019,207,142,.309,.253,.056,.524,.396,.128,.372,.305,.067
Swanson, Dansby,621020,2019,206,151,.257,.280,-.023,.459,.509,-.050,.327,.362,-.035
Machado, Manny,592518,2019,205,139,.267,.261,.006,.450,.459,-.009,.342,.346,-.004
