,Name,wOBA_current_year,preds
0, Cody Bellinger,0.496,0.41396071280358926
8, Mike Trout,0.418,0.4103280388875459
3, Josh Bell,0.449,0.4029598984901425
6, Joey Gallo,0.43,0.39425450650048743
4, Anthony Rendon,0.439,0.3940574690241094
2, Christian Yelich,0.449,0.3911277334720757
75, Ronald Acuna Jr.,0.35700000000000004,0.3869319195665783
1, Austin Meadows,0.461,0.38607772908195886
49, Mookie Betts,0.37200000000000005,0.3827334862909274
15, Hunter Dozier,0.409,0.3822105739187738
20, Alex Bregman,0.402,0.38192495366170526
16, Kris Bryant,0.40700000000000003,0.3811473375890444
17, Freddie Freeman,0.40700000000000003,0.3806443586547078
44, Tommy Pham,0.377,0.3793454456247317
7, George Springer,0.42200000000000004,0.3788109225516034
37, Rafael Devers,0.38,0.3765834017644092
10, Jorge Polanco,0.413,0.3763700553628287
45, Matt Chapman,0.376,0.37537149844791207
24, Michael Conforto,0.39299999999999996,0.37519068889120516
19, Gary Sanchez,0.40399999999999997,0.37470092161115753
29, J.D. Martinez,0.386,0.37406234430084295
9, Anthony Rizzo,0.418,0.37302963465013605
47, Xander Bogaerts,0.373,0.3729926569134475
40, Juan Soto,0.379,0.3725479877586758
13, Hunter Pence,0.409,0.3722920160395314
54, Alex Verdugo,0.368,0.3718088970540005
30, Paul DeJong,0.385,0.37167732402064163
11, Nolan Arenado,0.41200000000000003,0.37036741942972773
23, Rhys Hoskins,0.39299999999999996,0.3691430578620941
51, Max Kepler,0.371,0.36791282131253983
53, Luke Voit,0.371,0.36718364898874645
42, Carlos Correa,0.37799999999999995,0.3662296690037667
77, Ketel Marte,0.35600000000000004,0.36565667134471636
80, Trevor Story,0.354,0.36550341561567734
73, Justin Turner,0.358,0.3654594642385681
21, Bryan Reynolds,0.401,0.36510358235615203
18, Daniel Vogelbach,0.406,0.3649400455510284
33, Logan Forsythe,0.382,0.3640475049942022
39, Jeff McNeil,0.38,0.3639402573869089
99, Nick Markakis,0.345,0.36322356540489714
140, Dansby Swanson,0.32899999999999996,0.36307528878417744
12, Joc Pederson,0.41,0.3628420278600167
35, Michael Chavis,0.381,0.3622703912913655
27, Michael Brantley,0.387,0.3617777814757954
52, Carlos Santana,0.371,0.36170834032197524
25, Howie Kendrick,0.38799999999999996,0.36144037151282393
97, Marcell Ozuna,0.34600000000000003,0.36088491758678387
94, Paul Goldschmidt,0.348,0.36071427294089753
28, Tommy La Stella,0.387,0.36066948411800753
34, Javier Baez,0.382,0.3605166576381705
161, Kyle Schwarber,0.318,0.3599257214690199
69, Avisail Garcia,0.36,0.35966877886764553
79, Whit Merrifield,0.355,0.35950239630039527
138, J.T. Realmuto,0.331,0.35944682130327754
87, David Fletcher,0.35100000000000003,0.35935683470616214
14, Willson Contreras,0.409,0.3593506917645043
26, James McCann,0.38799999999999996,0.35887731823000724
74, David Bote,0.35700000000000004,0.3587506109330927
124, Jose Martinez,0.336,0.3586377780587502
43, Mark Canha,0.377,0.35812213471129684
72, Gleyber Torres,0.358,0.35795945246292765
102, Yoan Moncada,0.344,0.3578287376825614
143, Christian Walker,0.327,0.35779339073600275
110, Bryce Harper,0.341,0.357567218103856
104, Francisco Lindor,0.34299999999999997,0.3574540347160758
41, Eugenio Suarez,0.379,0.35734061296724445
65, Justin Smoak,0.361,0.3573045016998176
135, J.D. Davis,0.332,0.35658251735058133
78, Andrew McCutchen,0.35600000000000004,0.35635779492948144
116, DJ LeMahieu,0.33899999999999997,0.3563351146619712
145, Ryan McMahon,0.326,0.35533431314520686
156, Nomar Mazara,0.321,0.3551269403511977
56, Trey Mancini,0.36700000000000005,0.35502299111575
92, David Dahl,0.35,0.354886360816131
62, Nelson Cruz,0.36200000000000004,0.35486334881380044
103, Brian Goodwin,0.34299999999999997,0.3544463578073963
57, Josh Donaldson,0.365,0.3543411155340255
64, Hunter Renfroe,0.361,0.35414175288462374
63, Brandon Lowe,0.361,0.3539089724845471
61, Eddie Rosario,0.36200000000000004,0.353876378714229
59, C.J. Cron,0.364,0.35375494052764683
105, Harrison Bader,0.34299999999999997,0.3531793795876371
50, Yasmani Grandal,0.371,0.3530899816811519
85, Yandy Diaz,0.35200000000000004,0.35304999559937517
144, Ben Gamel,0.326,0.35296265378257324
121, Byron Buxton,0.337,0.35264039418298265
70, Mitch Moreland,0.359,0.3524880809259396
193, Vladimir Guerrero Jr.,0.303,0.3524464935894939
71, Max Muncy,0.359,0.35223060099758247
91, Domingo Santana,0.35,0.35203266585719833
81, Jean Segura,0.354,0.35195533862126305
38, Eduardo Escobar,0.38,0.35159837814794614
5, Derek Dietrich,0.434,0.3515572462736655
126, Jose Abreu,0.336,0.3513074799672334
164, Renato Nunez,0.316,0.35099299035222975
32, Charlie Blackmon,0.384,0.35080663732791534
31, Shin-Soo Choo,0.385,0.3507161042948177
95, Franmil Reyes,0.34700000000000003,0.3505543930749679
130, Carson Kelly,0.33399999999999996,0.3502449485515735
55, David Peralta,0.368,0.35009884247286516
58, Elvis Andrus,0.364,0.3493734952498079
112, Jose Altuve,0.34,0.3493670581935325
142, Andrew Benintendi,0.327,0.3491112742614121
172, Matt Carpenter,0.312,0.34900207154729906
171, Ozzie Albies,0.312,0.3486783650385643
90, Danny Santana,0.35,0.34848571915909293
128, Manny Machado,0.335,0.34778480690930325
76, Cesar Hernandez,0.35600000000000004,0.34770869795325265
48, Tim Anderson,0.37200000000000005,0.34762650186311755
108, Aledmys Diaz,0.342,0.3476225689705448
129, Marcus Semien,0.335,0.34744346800117326
36, Fernando Tatis Jr.,0.381,0.3473722966530046
151, Nicholas Castellanos,0.32299999999999995,0.3472789405509048
107, Josh Reddick,0.342,0.3471798964285229
22, Pablo Sandoval,0.396,0.3471136938622715
127, Jonathan Lucroy,0.335,0.3469193867346292
122, Brandon Belt,0.337,0.34644573887118285
88, Dexter Fowler,0.35100000000000003,0.34610670314643804
66, Omar Narvaez,0.361,0.34607358432228397
82, Mike Moustakas,0.354,0.3456626376239901
67, Josh Phegley,0.36,0.34551073199704296
199, Robbie Grossman,0.3,0.3452943847030258
83, Edwin Encarnacion,0.353,0.3452537512044825
154, Ji-Man Choi,0.322,0.34485210187596094
139, Jesse Winker,0.33,0.3444984936310182
89, Clint Frazier,0.35100000000000003,0.3441032571955283
168, Rowdy Tellez,0.314,0.34399116470173935
86, Neil Walker,0.35200000000000004,0.34358153571744476
100, Raimel Tapia,0.344,0.34352273910662456
136, Adalberto Mondesi,0.331,0.3433028107603129
206, Ramon Laureano,0.29600000000000004,0.34327732180412873
84, Ryan Braun,0.35200000000000004,0.3432583003340891
132, Nick Senzel,0.33299999999999996,0.34322354325954896
93, Pedro Severino,0.348,0.3430995495088808
177, Corey Seager,0.309,0.34294810955458294
204, Christin Stewart,0.297,0.3428542404098439
187, Yuli Gurriel,0.306,0.342798494680484
131, Gregory Polanco,0.33399999999999996,0.34278031897673167
125, Kole Calhoun,0.336,0.34240264298766543
237, Jose Ramirez,0.272,0.3423555954396253
115, Christian Vazquez,0.33899999999999997,0.3420324649000315
183, Joe Panik,0.308,0.3419523034436915
146, Wil Myers,0.326,0.34172984557149566
147, Jason Heyward,0.325,0.3414652407564431
220, JaCoby Jones,0.284,0.34141263077507256
60, Alex Gordon,0.363,0.34136952890470446
98, Melky Cabrera,0.345,0.34131282648377204
120, Mitch Haniger,0.337,0.34116072048929263
158, Ian Desmond,0.319,0.3410048308217008
101, Jonathan Schoop,0.344,0.3409553284885157
114, Eric Thames,0.33899999999999997,0.34094621631614935
222, Niko Goodrum,0.284,0.34079121695782655
153, Nick Ahmed,0.322,0.3407252118895159
182, Joey Votto,0.308,0.3403929204202545
208, Brian Anderson,0.295,0.3402074574375796
134, Stephen Piscotty,0.332,0.34020141646232843
148, Jorge Soler,0.325,0.340010564504654
227, Ryan O'Hearn,0.27899999999999997,0.33977087584246857
46, Jake Marisnick,0.373,0.33944555329055276
152, Jay Bruce,0.32299999999999995,0.3389933319340118
118, Jose Iglesias,0.33799999999999997,0.33883301467652394
203, Enrique Hernandez,0.298,0.33879082940706207
159, Jonathan Villar,0.319,0.33874602867016124
200, Marwin Gonzalez,0.3,0.3387345029248607
119, Khris Davis,0.337,0.3384279980144298
181, Amed Rosario,0.308,0.3381859058467833
141, Brian McCann,0.32899999999999996,0.33779306392319647
123, Greg Garcia,0.337,0.3376154629471226
212, Adam Frazier,0.292,0.3375888123824757
198, Evan Longoria,0.301,0.3371790000375132
162, Chad Pinder,0.318,0.33701518746522774
243, Kendrys Morales,0.26899999999999996,0.33701324680090194
186, Kevin Kiermaier,0.307,0.33701037385007276
163, Andrelton Simmons,0.317,0.3368256799775639
185, Ryan Cordell,0.308,0.33675296807940164
217, Jake Bauers,0.28600000000000003,0.33670073361391595
246, A.J. Pollock,0.266,0.33628198001821824
