"Name","Team","Age","ERA","K/9","BB/9","K/BB","H/9","HR/9","WHIP","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","K%","BB%","Soft%","Med%","Hard%","AVG","IFH%","BUH%","xFIP","SIERA","RS/9","K-BB%","Pull%","Cent%","Oppo%","playerid"
"Hyun-Jin Ryu","Dodgers","32","1.78","9.40","1.21","7.79","6.86","0.95","0.90",".261","1.39","21.6 %","45.6 %","32.8 %","9.2 %","12.5 %","32.6 %","65.6 %","46.9 %","61.5 %","83.9 %","75.0 %","43.1 %","60.5 %","11.7 %","27.5 %","3.5 %","17.8 %","46.1 %","36.1 %",".208","4.8 %","40.0 %","2.93","3.11","6.10","23.9 %","43.7 %","31.8 %","24.5 %","14444"
"Jacob deGrom","Mets","31","2.13","11.26","2.06","5.46","6.58","0.59","0.96",".284","1.39","22.5 %","45.1 %","32.5 %","14.7 %","8.5 %","37.2 %","70.4 %","52.0 %","57.5 %","79.9 %","71.0 %","44.6 %","66.1 %","15.1 %","31.9 %","5.8 %","24.1 %","46.5 %","29.4 %",".200","6.1 %","30.8 %","2.73","2.90","3.37","26.1 %","42.1 %","32.0 %","25.9 %","10954"
"Blake Snell","Rays","26","2.19","11.44","2.98","3.84","5.84","0.86","0.98",".256","1.23","19.5 %","44.4 %","36.1 %","8.1 %","11.9 %","33.7 %","65.0 %","45.9 %","47.4 %","79.6 %","65.2 %","39.2 %","59.6 %","16.0 %","32.9 %","8.6 %","19.5 %","46.5 %","34.0 %",".184","8.3 %","0.0 %","2.99","3.14","4.98","24.3 %","35.3 %","33.0 %","31.7 %","13543"
"Justin Verlander","Astros","36","2.45","11.91","1.70","7.02","6.03","1.26","0.86",".244","0.62","19.2 %","30.8 %","49.9 %","13.1 %","12.2 %","35.7 %","68.8 %","51.2 %","57.9 %","79.0 %","71.2 %","46.8 %","67.7 %","14.8 %","34.2 %","4.9 %","18.8 %","48.9 %","32.4 %",".184","9.4 %","66.7 %","3.13","2.74","4.59","29.4 %","39.0 %","34.8 %","26.2 %","8700"
"Chris Sale","Red Sox","30","2.69","13.44","2.10","6.40","6.17","0.84","0.92",".288","1.15","19.2 %","43.3 %","37.5 %","13.5 %","11.8 %","35.7 %","62.7 %","47.9 %","54.3 %","76.9 %","67.7 %","45.3 %","67.0 %","15.5 %","37.6 %","5.9 %","24.1 %","47.3 %","28.6 %",".188","8.7 %","25.0 %","2.51","2.43","5.08","31.7 %","38.0 %","33.0 %","29.1 %","10603"
"Walker Buehler","Dodgers","24","2.71","9.55","2.23","4.28","6.40","0.78","0.96",".251","1.42","19.5 %","47.2 %","33.3 %","7.0 %","10.2 %","31.3 %","67.3 %","48.3 %","64.1 %","84.2 %","77.3 %","47.2 %","63.0 %","11.0 %","27.0 %","6.3 %","20.5 %","43.6 %","35.9 %",".195","4.9 %","28.6 %","3.33","3.42","5.38","20.7 %","33.0 %","37.8 %","29.2 %","19374"
"Max Scherzer","Nationals","34","2.74","12.21","2.07","5.91","6.72","0.89","0.98",".289","0.84","19.1 %","36.8 %","44.1 %","13.8 %","9.8 %","35.0 %","71.0 %","51.9 %","52.4 %","77.8 %","68.7 %","47.1 %","66.9 %","16.2 %","34.1 %","5.8 %","22.0 %","46.8 %","31.2 %",".202","5.6 %","12.5 %","3.01","2.76","5.27","28.3 %","40.8 %","32.1 %","27.1 %","3137"
"Trevor Bauer","Indians","28","2.75","11.12","3.42","3.25","6.69","0.67","1.12",".283","1.15","21.9 %","41.8 %","36.3 %","10.4 %","8.5 %","30.0 %","64.4 %","44.5 %","51.1 %","84.3 %","71.4 %","42.0 %","61.4 %","12.7 %","30.0 %","9.2 %","15.8 %","46.5 %","37.7 %",".202","5.8 %","25.0 %","3.51","3.53","4.95","20.8 %","42.6 %","33.6 %","23.8 %","12703"
"Aaron Nola","Phillies","26","2.79","9.66","2.69","3.59","7.11","0.88","1.09",".275","1.64","20.6 %","49.3 %","30.1 %","11.3 %","12.8 %","32.5 %","62.3 %","45.4 %","62.1 %","82.9 %","74.5 %","43.6 %","66.6 %","11.6 %","26.7 %","7.4 %","21.3 %","51.5 %","27.2 %",".214","6.3 %","18.8 %","3.31","3.53","4.49","19.3 %","43.6 %","34.8 %","21.6 %","16149"
"Mike Clevinger","Indians","28","2.84","9.72","3.01","3.23","7.05","0.89","1.12",".275","1.04","20.4 %","40.6 %","39.1 %","11.4 %","10.0 %","30.4 %","66.2 %","46.1 %","58.1 %","81.8 %","73.0 %","43.7 %","64.4 %","12.5 %","26.9 %","8.3 %","18.8 %","46.3 %","34.9 %",".214","5.5 %","14.3 %","3.71","3.73","5.65","18.5 %","37.1 %","34.6 %","28.3 %","12808"
