"Name","Team","Age","ERA","K/9","BB/9","K/BB","H/9","HR/9","AVG","WHIP","BABIP","LOB%","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","xFIP","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","K%","BB%","SIERA","RS/9","K-BB%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Jacob deGrom","Mets","30","1.70","11.16","1.91","5.85","6.30","0.41",".194","0.91",".281","82.0 %","1.47","21.9 %","46.4 %","31.6 %","16.3 %","6.3 %","6.8 %","22.2 %","2.60","37.9 %","68.8 %","51.7 %","57.7 %","79.7 %","70.8 %","44.6 %","66.5 %","15.1 %","32.2 %","5.5 %","2.78","3.57","26.7 %","42.3 %","32.0 %","25.6 %","25.2 %","48.2 %","26.6 %","10954"
"Wilmer Font","Rays","28","1.71","7.71","3.43","2.25","5.14","0.43",".162","0.95",".200","86.0 %","1.09","14.3 %","44.6 %","41.1 %","13.0 %","4.3 %","4.0 %","0.0 %","4.40","24.5 %","66.7 %","43.6 %","69.6 %","82.7 %","78.7 %","45.4 %","61.0 %","9.3 %","22.0 %","9.8 %","4.44","3.86","12.2 %","41.1 %","28.6 %","30.4 %","19.6 %","41.1 %","39.3 %","5257"
"Blake Snell","Rays","25","1.89","11.01","3.19","3.45","5.58","0.80",".176","0.97",".241","88.0 %","1.23","18.8 %","44.7 %","36.4 %","6.7 %","10.7 %","7.7 %","0.0 %","3.16","33.1 %","65.0 %","45.3 %","50.1 %","80.3 %","66.6 %","38.2 %","57.1 %","15.1 %","31.6 %","9.1 %","3.30","5.38","22.4 %","33.8 %","34.5 %","31.6 %","18.1 %","46.1 %","35.8 %","13543"
"Hyun-Jin Ryu","Dodgers","31","1.97","9.73","1.64","5.93","7.43","0.98",".221","1.01",".281","85.4 %","1.30","19.0 %","45.8 %","35.2 %","9.2 %","11.8 %","7.1 %","33.3 %","3.11","31.4 %","64.1 %","45.9 %","61.1 %","83.0 %","74.7 %","44.4 %","58.6 %","11.6 %","27.5 %","4.6 %","3.18","5.68","22.8 %","44.3 %","31.1 %","24.7 %","20.1 %","46.1 %","33.8 %","14444"
"Clay Buchholz","Diamondbacks","33","2.01","7.41","2.01","3.68","7.32","0.82",".217","1.04",".255","86.6 %","1.17","20.9 %","42.6 %","36.5 %","6.8 %","8.7 %","4.2 %","25.0 %","4.01","32.4 %","67.9 %","48.3 %","66.1 %","87.9 %","79.9 %","44.8 %","67.7 %","9.7 %","20.6 %","5.6 %","4.08","5.22","15.0 %","38.8 %","35.7 %","25.5 %","15.0 %","46.9 %","38.1 %","3543"
"Chris Sale","Red Sox","29","2.11","13.50","1.94","6.97","5.81","0.63",".179","0.86",".283","82.5 %","1.22","19.6 %","44.2 %","36.2 %","15.3 %","9.3 %","9.0 %","33.3 %","2.31","36.4 %","62.8 %","48.0 %","54.5 %","76.5 %","67.2 %","44.1 %","67.6 %","15.8 %","38.4 %","5.5 %","2.27","5.70","32.9 %","38.9 %","30.7 %","30.4 %","27.4 %","46.1 %","26.5 %","10603"
"Trevor Bauer","Indians","27","2.26","11.50","2.99","3.84","6.93","0.47",".207","1.10",".301","79.3 %","1.27","21.0 %","44.1 %","34.9 %","11.2 %","6.3 %","6.1 %","28.6 %","3.14","31.4 %","63.6 %","44.9 %","50.4 %","84.1 %","70.4 %","42.0 %","64.0 %","13.3 %","31.2 %","8.1 %","3.21","5.10","23.0 %","43.2 %","35.0 %","21.8 %","15.8 %","48.0 %","36.2 %","12703"
"Walker Buehler","Dodgers","23","2.31","9.97","2.38","4.19","5.94","0.73",".184","0.92",".241","80.6 %","1.59","18.2 %","50.3 %","31.5 %","7.5 %","10.4 %","4.1 %","33.3 %","3.15","32.7 %","66.3 %","48.5 %","63.0 %","85.0 %","77.1 %","47.0 %","63.7 %","11.1 %","28.4 %","6.8 %","3.25","4.89","21.6 %","34.8 %","36.6 %","28.6 %","23.6 %","41.9 %","34.5 %","19374"
"Aaron Nola","Phillies","25","2.37","9.49","2.46","3.86","6.32","0.72",".195","0.97",".251","82.5 %","1.67","19.1 %","50.6 %","30.3 %","12.5 %","10.6 %","7.1 %","21.4 %","3.21","33.2 %","64.2 %","47.0 %","60.9 %","81.9 %","73.7 %","44.7 %","69.4 %","12.4 %","27.0 %","7.0 %","3.40","3.86","20.0 %","43.3 %","35.1 %","21.6 %","22.3 %","52.6 %","25.1 %","16149"
"Max Fried","Braves","24","2.49","11.22","5.82","1.93","6.23","0.00",".203","1.34",".319","77.4 %","3.43","32.6 %","52.2 %","15.2 %","0.0 %","0.0 %","4.2 %","0.0 %","3.42","24.8 %","61.4 %","39.1 %","58.9 %","78.7 %","71.0 %","39.1 %","51.1 %","11.3 %","30.0 %","15.6 %","4.17","4.98","14.4 %","29.8 %","42.6 %","27.7 %","10.6 %","44.7 %","44.7 %","13743"
"Justin Verlander","Astros","35","2.52","12.20","1.56","7.84","6.56","1.18",".198","0.90",".272","85.3 %","0.57","19.5 %","29.1 %","51.4 %","14.6 %","11.1 %","12.6 %","66.7 %","3.03","34.6 %","68.8 %","50.9 %","57.5 %","79.4 %","71.6 %","47.7 %","68.9 %","14.5 %","34.8 %","4.4 %","2.63","4.25","30.4 %","37.0 %","33.7 %","29.3 %","20.1 %","50.8 %","29.1 %","8700"
"Max Scherzer","Nationals","33","2.53","12.24","2.08","5.88","6.12","0.94",".187","0.91",".265","81.3 %","0.72","18.1 %","34.3 %","47.6 %","16.1 %","9.7 %","5.9 %","14.3 %","3.06","35.8 %","70.1 %","52.0 %","53.9 %","77.5 %","69.0 %","47.4 %","65.7 %","16.2 %","34.6 %","5.9 %","2.71","5.67","28.8 %","40.6 %","31.6 %","27.8 %","23.9 %","47.5 %","28.6 %","3137"
"Wade Miley","Brewers","31","2.57","5.58","3.01","1.85","7.92","0.33",".232","1.21",".269","75.9 %","2.24","23.6 %","52.8 %","23.6 %","8.6 %","5.2 %","4.6 %","0.0 %","4.30","31.9 %","64.7 %","44.0 %","68.9 %","88.0 %","79.2 %","36.9 %","58.0 %","9.1 %","14.8 %","8.0 %","4.66","4.13","6.8 %","49.6 %","32.0 %","18.4 %","19.5 %","43.4 %","37.1 %","8779"
"Framber Valdez","Astros","24","2.59","7.40","6.66","1.11","5.92","0.74",".193","1.40",".230","86.5 %","6.43","16.1 %","72.6 %","11.3 %","28.6 %","28.6 %","6.7 %","0.0 %","4.21","24.2 %","56.5 %","35.8 %","72.7 %","88.5 %","81.7 %","36.1 %","48.5 %","6.6 %","19.8 %","17.8 %","5.04","5.18","2.0 %","44.4 %","28.6 %","27.0 %","27.0 %","58.7 %","14.3 %","17295"
"Clayton Kershaw","Dodgers","30","2.73","8.65","1.62","5.34","7.75","0.95",".225","1.04",".273","78.7 %","1.62","22.5 %","47.9 %","29.6 %","7.5 %","12.7 %","7.8 %","33.3 %","3.19","32.4 %","72.7 %","51.0 %","61.8 %","87.2 %","78.5 %","46.3 %","70.6 %","11.0 %","23.9 %","4.5 %","3.45","5.41","19.4 %","49.4 %","30.5 %","20.1 %","20.4 %","43.5 %","36.2 %","2036"
