,Name,ERA_current_year,SIERA,preds
1,Jacob deGrom,1.7,2.78,2.964318954953783
50,Justin Verlander,2.52,2.63,3.0952945842210484
126,Gerrit Cole,2.88,2.91,3.0994112402230853
51,Max Scherzer,2.53,2.71,3.131255740429083
237,Patrick Corbin,3.15,2.91,3.2001809221872892
6,Blake Snell,1.89,3.3,3.2615682958241483
357,Luis Severino,3.39,3.26,3.3039135065290197
18,Trevor Bauer,2.26,3.21,3.3990570323423457
29,Aaron Nola,2.37,3.4,3.4379296474046823
625,German Marquez,3.77,3.31,3.509886553838931
320,Carlos Carrasco,3.33,3.04,3.513874403332824
222,Charlie Morton,3.13,3.52,3.579654315779638
307,Zack Wheeler,3.31,3.87,3.620549025021333
1184,Nick Pivetta,4.8,3.5,3.6361133191363346
176,Mike Clevinger,3.02,3.86,3.661094695297233
131,Corey Kluber,2.89,3.23,3.6954410770881303
258,Jameson Taillon,3.2,3.77,3.700217254886454
113,Mike Foltynewicz,2.85,3.77,3.713669697287246
259,Zack Greinke,3.21,3.6,3.7967808686015343
107,Miles Mikolas,2.83,3.93,3.8129492010792267
959,Luis Castillo,4.3,3.85,3.823631774336192
111,Kyle Freeland,2.85,4.35,3.845439358855128
778,Marco Gonzales,4.0,3.81,3.8494705239315468
872,Andrew Heaney,4.15,3.74,3.8680330900455653
381,Kyle Hendricks,3.44,4.03,3.88032060172822
732,Sean Newcomb,3.91,4.54,3.8872367823441887
532,J.A. Happ,3.65,3.64,3.887662280008283
681,Jose Berrios,3.84,3.8,3.9072205900053985
1275,Jon Gray,5.12,3.68,3.9075991389148066
482,David Price,3.58,3.82,3.959078656378539
1176,Zack Godley,4.77,4.19,3.9761621423266607
953,Rick Porcello,4.28,3.77,3.991762957776064
738,Kevin Gausman,3.92,4.28,4.004848943542503
1056,Jake Odorizzi,4.49,4.55,4.046570172620482
602,Dallas Keuchel,3.74,4.15,4.076254506787531
505,Kyle Gibson,3.62,4.25,4.107454066998105
799,Jose Quintana,4.03,4.39,4.113656605255224
634,Cole Hamels,3.78,3.99,4.138593620271264
759,Jake Arrieta,3.96,4.29,4.143155749142153
216,Trevor Williams,3.11,4.68,4.1571445023991815
1083,Tyler Anderson,4.55,4.22,4.164970872001746
771,Jose Urena,3.98,4.39,4.167248822857373
748,Julio Teheran,3.94,4.67,4.170941893720705
936,Tanner Roark,4.25,4.38,4.171394984349881
914,Gio Gonzalez,4.21,4.73,4.182133010098698
730,Reynaldo Lopez,3.91,4.92,4.199024844489505
1005,Matthew Boyd,4.39,4.31,4.23061989643274
1001,Jakob Junis,4.37,3.98,4.241800429441556
1322,Dylan Bundy,5.45,3.94,4.268161865255689
432,Jhoulys Chacin,3.5,4.59,4.271954680101425
315,Jon Lester,3.32,4.57,4.302048307750287
309,Mike Fiers,3.31,4.26,4.399639980098881
904,Ivan Nova,4.19,4.42,4.404364429012198
992,Mike Leake,4.36,4.36,4.458548395825041
1357,Lucas Giolito,6.13,5.37,4.512812389554417
1063,James Shields,4.5,4.91,4.700393228988636
