,Name,ERA_current_year,SIERA,preds,IP
16,Josh Hader,2.53,2.1,2.7208766607734747,85.1
1,Felipe Vazquez,1.65,2.36,2.893612782042347,60.0
0,Liam Hendriks,1.54,2.42,2.9748334693059,99.1
7,Aaron Bummer,2.04,3.32,2.978979201849424,75.0
35,Taylor Rogers,2.91,2.64,2.9857771256048062,80.1
10,Ken Giles,2.14,2.69,2.98667540080435,54.2
28,Will Smith,2.79,2.76,3.0267739373794518,71.0
172,Kyle Crick,4.86,4.72,3.0514610547610834,50.0
162,Colin Poche,4.7,3.36,3.069666925445009,51.2
3,Zack Britton,1.92,3.8,3.075135516458159,70.1
4,Kirby Yates,1.94,2.2,3.0931332358018757,65.0
186,Edwin Diaz,5.01,2.49,3.104929686647483,70.0
8,Giovanny Gallegos,2.1,2.8,3.113262336044409,81.1
122,Matt Barnes,4.07,3.49,3.135697167472432,77.1
119,Michael Feliz,4.06,3.78,3.1393743937860337,57.2
12,Adam Ottavino,2.22,4.12,3.141256672783976,77.0
11,Brandon Workman,2.15,3.89,3.1561708394683494,83.2
40,Amir Garrett,3.09,3.66,3.1567418321262375,67.0
87,Freddy Peralta,3.66,3.19,3.163545504820508,64.0
32,Emilio Pagan,2.89,3.03,3.165987357104561,84.0
33,Nick Anderson,2.91,2.13,3.1745389184745467,74.1
84,Tommy Kahnle,3.61,2.78,3.1773312425995472,62.1
30,Reyes Moronta,2.86,4.29,3.183571926678103,56.2
22,Ryan Pressly,2.63,2.67,3.2033573394428356,65.0
73,Yimi Garcia,3.46,3.87,3.206637598050647,65.0
9,Tyler Clippard,2.11,3.65,3.213664027723098,68.1
49,Chris Martin,3.16,2.77,3.217628896243677,62.2
13,Scott Oberg,2.25,4.0,3.2187285694310774,56.0
93,Tim Hill,3.75,3.48,3.2237897735552212,50.1
46,Andrew Kittredge,3.15,3.75,3.2357230937654995,45.2
36,Diego Castillo,2.92,3.69,3.2413532448737654,74.0
60,Tanner Rainey,3.3,3.94,3.244884540114934,62.2
63,Justin Wilson,3.33,4.04,3.271393919408739,48.2
26,Adam Kolarek,2.74,3.54,3.2819325308886533,65.2
106,Jake Diekman,3.89,4.08,3.283783193333024,74.0
56,Kenley Jansen,3.24,3.16,3.2867915021423375,77.2
195,Josh James,5.26,3.5,3.2929221530244437,65.0
116,Mychal Givens,4.03,3.29,3.3002535824729136,76.0
78,Nick Goody,3.55,4.33,3.3031237082437404,45.2
55,Oliver Drake,3.23,3.32,3.3036912588126364,61.1
140,Raisel Iglesias,4.34,3.03,3.3189500105426837,76.2
20,Roberto Osuna,2.6,3.19,3.330369974149369,69.1
19,Aroldis Chapman,2.59,3.17,3.3331793546654325,59.0
59,David Phelps,3.3,3.67,3.335103904499264,46.1
82,John Brebbia,3.59,3.82,3.3354098014503593,72.2
50,Carlos Martinez,3.17,3.66,3.347516126160304,48.1
70,Hector Neris,3.43,3.41,3.3503819488217883,76.0
51,Jimmy Cordero,3.2,3.72,3.3611601281325383,50.2
79,Sergio Romo,3.55,3.87,3.3624404291792107,71.0
101,Caleb Ferguson,3.86,3.63,3.3651745392758983,53.2
142,Austin Brice,4.4,4.19,3.3667372436932212,59.1
44,Anthony Bass,3.14,3.93,3.3685068134295095,63.0
146,Jose Leclerc,4.43,3.72,3.3706715996014256,67.0
24,Seth Lugo,2.69,2.81,3.370992666582866,90.1
64,Oliver Perez,3.33,3.53,3.3712295880758574,54.0
72,Steve Cishek,3.45,4.59,3.3725065827801513,75.2
104,Chaz Roe,3.88,4.23,3.37645772885925,60.1
130,Chad Green,4.2,2.89,3.378694377498007,64.1
96,Luke Jackson,3.78,3.05,3.3788875166175107,85.2
14,Tyler Duffey,2.43,2.67,3.380962553815044,70.1
6,Julio Urias,2.01,4.2,3.3926367115668556,49.1
61,Brad Hand,3.31,3.04,3.4088058532802057,68.0
80,Noe Ramirez,3.58,3.8,3.4091702053432575,73.0
169,Paul Fry,4.83,4.11,3.412326615669148,69.0
17,Evan Marshall,2.54,4.38,3.4221742664570525,63.2
2,Will Harris,1.74,3.28,3.422656494489719,67.1
86,Scott Barlow,3.64,3.8,3.4260469047074538,89.0
194,Trey Wingenter,5.26,3.63,3.428921636452558,49.2
5,Shane Greene,1.96,3.73,3.434269717856816,78.0
42,J.B. Wendelken,3.13,3.7,3.4360583363540873,46.0
98,Josh Taylor,3.81,3.28,3.4401749285629175,49.2
199,Clay Holmes,5.44,4.71,3.449406371353823,51.1
38,Sean Newcomb,3.04,3.81,3.4566021399734876,53.1
137,Robert Stephenson,4.3,3.45,3.458269577683806,67.0
131,Alex Claudio,4.21,4.62,3.4632088974063637,72.2
71,Michael Lorenzen,3.44,4.09,3.465404588984376,96.2
109,Richard Rodriguez,3.92,3.98,3.4685454594006235,78.0
120,Joe Kelly,4.06,3.63,3.475345200944678,57.2
166,Lou Trivino,4.78,4.52,3.4767829183106653,75.1
65,Dylan Floro,3.38,3.87,3.4827341552971514,61.1
95,Joakim Soria,3.76,3.6,3.4828427152877013,83.2
47,Trevor May,3.16,3.51,3.485248075408051,77.0
200,Joe Jimenez,5.45,3.62,3.4925433095385965,69.1
174,Pedro Strop,4.91,4.33,3.4939379138553264,44.0
160,Brandon Brennan,4.62,4.54,3.498003450482524,48.2
111,Hector Rondon,3.93,4.59,3.4995583733905575,71.0
39,Stefan Crichton,3.09,3.7,3.4997693351961705,46.2
74,Francisco Liriano,3.47,4.76,3.502523240454666,70.0
125,Heath Hembree,4.1,4.32,3.503318947421996,52.2
147,Derek Law,4.45,4.68,3.504234124382101,56.2
155,Miguel Castro,4.55,4.36,3.5066554211544987,89.0
100,Ryan Yarbrough,3.86,3.96,3.508244483922891,56.0
25,Brandon Kintzler,2.73,3.87,3.5086022377380988,69.1
29,Daniel Hudson,2.82,4.11,3.5126002738351887,83.0
