"Name","Team","Age","ERA","K/9","BB/9","K/BB","H/9","HR/9","AVG","WHIP","BABIP","LOB%","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","xFIP","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","K%","BB%","SIERA","RS/9","K-BB%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","Start-IP","GS","IP","playerid"
"Liam Hendriks","Athletics","31","1.54","13.14","1.99","6.59","5.98","0.54",".185","0.89",".291","88.2%","0.68","19.2%","32.7%","48.1%","10.0%","6.0%","2.9%","0.0%","3.01","34.8%","72.9%","51.8%","48.5%","75.7%","65.5%","44.6%","65.9%","17.9%","38.1%","5.8%","2.42","2.54","32.3%","29.3%","38.2%","32.6%","17.5%","42.9%","39.6%","","0","99.1","3548"
"Felipe Vazquez","Pirates","27","1.65","13.50","1.95","6.92","6.45","0.75",".196","0.93",".306","90.6%","1.15","21.1%","42.2%","36.7%","4.3%","10.6%","3.7%","100.0%","2.62","29.7%","70.7%","50.3%","53.5%","79.1%","71.6%","50.2%","64.8%","14.3%","38.1%","5.5%","2.36","2.55","32.6%","33.3%","33.3%","33.3%","19.4%","44.2%","36.4%","","0","60.0","12076"
"Will Harris","- - -","35","1.74","9.49","2.41","3.94","7.08","0.94",".213","1.05",".269","85.0%","2.32","22.3%","54.3%","23.4%","4.9%","17.1%","4.2%","33.3%","3.11","29.8%","63.3%","43.0%","53.1%","84.1%","71.1%","39.5%","60.7%","12.4%","26.6%","6.7%","3.28","6.28","19.9%","39.9%","33.2%","27.0%","17.4%","41.0%","41.6%","","0","67.1","3192"
"Zack Britton","Yankees","32","1.92","7.93","4.61","1.72","5.63","0.38",".179","1.14",".227","83.3%","7.21","14.8%","74.9%","10.4%","5.3%","15.8%","4.4%","0.0%","3.55","32.2%","59.0%","41.6%","62.0%","86.6%","74.2%","35.0%","55.5%","10.8%","21.9%","12.7%","3.80","3.97","9.2%","41.9%","40.2%","17.9%","23.4%","49.5%","27.2%","","0","70.1","3240"
"Kirby Yates","Padres","33","1.94","15.09","2.35","6.41","6.65","0.42",".197","1.00",".341","76.7%","1.37","18.7%","47.0%","34.3%","6.5%","6.5%","12.7%","0.0%","2.37","33.9%","70.7%","48.9%","57.8%","74.1%","67.4%","40.8%","61.9%","16.0%","40.7%","6.3%","2.20","0.14","34.3%","40.7%","36.3%","23.0%","17.8%","40.0%","42.2%","","0","65.0","9073"
"Shane Greene","- - -","30","1.96","8.77","2.42","3.62","6.23","0.92",".192","0.96",".234","82.6%","1.33","19.3%","46.0%","34.7%","11.4%","11.4%","6.5%","66.7%","3.99","30.0%","64.3%","44.9%","62.6%","84.0%","75.9%","43.3%","65.4%","10.8%","24.8%","6.9%","3.73","2.31","18.0%","38.5%","37.6%","23.9%","13.7%","52.2%","34.2%","","0","78.0","10756"
"Julio Urias","Dodgers","22","2.01","8.76","3.47","2.53","6.02","0.73",".185","1.05",".230","81.0%","1.25","22.7%","43.0%","34.4%","20.5%","9.1%","9.1%","0.0%","4.38","38.3%","77.1%","53.5%","64.6%","80.7%","73.7%","39.2%","62.5%","14.1%","24.0%","9.5%","4.20","4.20","14.5%","39.2%","34.6%","26.2%","25.4%","40.8%","33.9%","","0","49.1","14765"
"Aaron Bummer","White Sox","26","2.04","8.64","3.36","2.57","5.64","0.48",".180","1.00",".232","82.9%","4.50","11.3%","72.6%","16.1%","0.0%","13.3%","8.1%","33.3%","3.32","29.4%","66.5%","46.0%","59.3%","85.9%","76.5%","44.8%","58.6%","10.8%","24.7%","9.6%","3.32","5.16","15.1%","42.3%","33.3%","24.3%","22.8%","50.8%","26.5%","","0","75.0","16258"
"Giovanny Gallegos","Cardinals","28","2.10","11.18","1.77","6.31","5.09","1.00",".163","0.76",".215","87.8%","0.76","19.3%","34.8%","45.9%","18.1%","10.8%","4.8%","0.0%","3.45","37.0%","69.9%","51.2%","47.7%","80.5%","67.0%","43.1%","65.8%","16.9%","33.6%","5.3%","2.80","3.65","28.2%","37.0%","37.0%","26.0%","17.1%","45.9%","37.0%","","0","81.1","14986"
"Tyler Clippard","- - -","35","2.11","9.35","2.24","4.18","5.40","0.92",".172","0.85",".213","88.6%","0.65","14.6%","33.5%","51.8%","18.8%","8.2%","10.9%","0.0%","4.60","33.4%","72.5%","49.8%","59.9%","79.0%","71.5%","41.8%","65.1%","14.2%","27.2%","6.5%","3.65","3.42","20.7%","51.5%","25.8%","22.8%","25.8%","41.9%","32.3%","","0","68.1","5640"
"Ken Giles","Blue Jays","29","2.14","14.16","3.46","4.10","6.09","0.82",".188","1.06",".302","88.2%","0.89","19.1%","38.2%","42.7%","10.6%","10.6%","4.8%","0.0%","2.93","36.0%","70.9%","50.1%","41.0%","77.5%","61.8%","40.4%","60.1%","19.1%","39.5%","9.6%","2.69","2.14","29.8%","35.1%","38.7%","26.1%","19.8%","42.3%","37.8%","","0","54.2","12910"
"Brandon Workman","- - -","31","2.15","12.69","5.70","2.23","5.06","0.11",".162","1.20",".267","78.5%","1.89","24.0%","49.7%","26.3%","2.2%","2.2%","4.7%","50.0%","3.42","28.9%","57.2%","39.8%","50.2%","83.6%","68.7%","38.5%","56.4%","12.5%","34.1%","15.3%","3.89","4.30","18.8%","46.2%","28.9%","24.9%","16.8%","42.8%","40.5%","","0","83.2","11428"
"Adam Ottavino","Yankees","34","2.22","11.69","5.38","2.17","6.31","0.70",".193","1.30",".276","85.6%","1.00","18.0%","41.0%","41.0%","11.0%","8.2%","12.3%","100.0%","4.40","24.6%","56.3%","38.2%","54.0%","81.6%","71.5%","42.8%","53.8%","10.9%","30.4%","14.0%","4.12","7.01","16.4%","35.8%","35.8%","28.5%","20.7%","44.1%","35.2%","","0","77.0","1247"
"Scott Oberg","Rockies","29","2.25","9.32","3.70","2.52","6.27","0.80",".195","1.11",".248","80.0%","1.58","20.1%","48.9%","30.9%","7.0%","11.6%","1.5%","33.3%","3.90","32.5%","66.3%","47.2%","60.6%","82.6%","74.0%","43.4%","63.7%","12.3%","26.0%","10.3%","4.00","5.14","15.7%","39.4%","33.1%","27.5%","20.4%","47.9%","31.7%","","0","56.0","13911"
"Tyler Duffey","Twins","29","2.43","12.54","2.05","6.13","6.40","1.28",".189","0.94",".255","78.6%","1.22","24.7%","41.4%","34.0%","10.9%","18.2%","7.5%","25.0%","2.82","35.5%","70.4%","50.2%","50.2%","81.0%","68.4%","42.3%","67.7%","15.9%","34.4%","5.6%","2.67","4.73","28.8%","39.8%","39.8%","20.5%","15.1%","40.4%","44.6%","","0","70.1","13758"
"Alex Colome","White Sox","31","2.49","8.09","3.24","2.50","6.10","0.87",".184","1.04",".215","69.9%","1.27","19.7%","44.9%","35.4%","2.9%","10.0%","3.4%","33.3%","4.49","34.2%","74.8%","50.4%","52.9%","86.3%","72.7%","40.0%","55.6%","13.8%","22.0%","8.8%","4.30","2.36","13.2%","45.8%","34.8%","19.4%","10.5%","51.7%","37.8%","","0","72.1","6661"
"Josh Hader","Brewers","26","2.53","16.03","3.16","5.07","4.32","1.58",".139","0.83",".205","90.9%","0.42","21.8%","23.2%","54.9%","20.5%","19.2%","0.0%","0.0%","2.69","37.4%","79.4%","56.3%","52.1%","67.0%","61.5%","44.9%","61.4%","21.7%","46.2%","9.1%","2.10","2.43","37.1%","31.7%","33.8%","34.5%","22.5%","42.3%","35.2%","","0","85.1","14212"
"Evan Marshall","White Sox","30","2.54","8.34","4.10","2.03","7.63","0.85",".228","1.30",".279","84.5%","1.86","20.5%","51.7%","27.8%","12.2%","12.2%","5.5%","0.0%","4.24","39.8%","63.5%","48.2%","67.6%","83.1%","74.8%","35.3%","60.9%","12.1%","22.2%","10.9%","4.38","5.65","11.3%","50.0%","32.0%","18.0%","20.2%","50.6%","29.2%","","0","63.2","12297"
